path,product,media_type,size_mb,duration_seconds,dimensions,recommended_destination
/home/iedrees/Workspace/nextgenwebs-audio/etsy-listing-videos/bank-desert-etsy-video-voiceover-v1.mp3,bank-desert,etsy listing voiceover,0.45,27.40,,Etsy only
/home/iedrees/Workspace/nextgenwebs-audio/etsy-listing-videos/construction-etsy-video-voiceover-v1.mp3,construction,etsy listing voiceover,0.52,32.18,,Etsy only
/home/iedrees/Workspace/nextgenwebs-audio/etsy-listing-videos/insightforge-etsy-video-voiceover-v1.mp3,insightforge,etsy listing voiceover,0.50,30.54,,Etsy only
/home/iedrees/Workspace/nextgenwebs-audio/etsy-listing-videos/tiling-etsy-video-voiceover-v1.mp3,tiling,etsy listing voiceover,0.55,33.75,,Etsy only
/home/iedrees/Workspace/nextgenwebs-audio/etsy-listing-videos/wellness-etsy-video-voiceover-v1.mp3,wellness,etsy listing voiceover,0.43,25.73,,Etsy only
/home/iedrees/Workspace/nextgenwebs-audio/homepage-brand/nextgenwebs-custom-build-v1.mp3,nextgenwebs,homepage brand,0.21,11.70,,Homepage planning asset
/home/iedrees/Workspace/nextgenwebs-audio/homepage-brand/nextgenwebs-homepage-intro-v1.mp3,nextgenwebs,homepage brand,0.31,18.39,,Homepage planning asset
/home/iedrees/Workspace/nextgenwebs-audio/homepage-brand/nextgenwebs-template-shop-v1.mp3,nextgenwebs,homepage brand,0.25,13.98,,Homepage planning asset
/home/iedrees/Workspace/nextgenwebs-audio/homepage-brand/nextgenwebs-what-we-build-v1.mp3,nextgenwebs,homepage brand,0.27,15.46,,Homepage planning asset
/home/iedrees/Workspace/nextgenwebs-video/etsy-listing-videos/construction-etsy-listing-video-v1.mp4,construction,Etsy only,2.73,11.80,832x1088,Etsy only
/home/iedrees/Workspace/nextgenwebs-video/youtube-talking-heads/construction-talking-head-youtube-v1.mp4,construction,talking-head YouTube video,8.52,37.80,832x1088,YouTube only / project page supporting media
/home/iedrees/Workspace/nextgenwebs-video/youtube-talking-heads/insightforge-talking-head-youtube-v1.mp4,insightforge,talking-head YouTube video,6.79,30.32,832x1088,YouTube only / project page supporting media
/home/iedrees/Workspace/nextgenwebs-video/youtube-talking-heads/tiling-talking-head-youtube-v1.mp4,tiling,talking-head YouTube video,7.49,33.96,832x1088,YouTube only / project page supporting media
/home/iedrees/Workspace/nextgenwebs-video/youtube-talking-heads/wellness-talking-head-youtube-v1.mp4,wellness,talking-head YouTube video,5.56,23.68,832x1088,YouTube only / project page supporting media
