filename,full_path,file_type,folder,product,platform,file_size_bytes,file_size_mb,duration_seconds,resolution,audio_codec,video_codec,filename_matches_rules,folder_matches_rules,likely_upload_ready,notes
bank-desert-etsy-video-voiceover-v1.mp3,/home/iedrees/Workspace/nextgenwebs-audio/bank-desert-etsy-video-voiceover-v1.mp3,audio,/home/iedrees/Workspace/nextgenwebs-audio,bank-desert,etsy-listing-videos,474005,0.45,27.40,,mp3,,yes,yes,yes,
construction-etsy-video-voiceover-v1.mp3,/home/iedrees/Workspace/nextgenwebs-audio/etsy-listing-videos/construction-etsy-video-voiceover-v1.mp3,audio,/home/iedrees/Workspace/nextgenwebs-audio/etsy-listing-videos,construction,etsy-listing-videos,550491,0.52,32.18,,mp3,,yes,yes,yes,
nextgenwebs-custom-build-v1.mp3,/home/iedrees/Workspace/nextgenwebs-audio/homepage-brand/nextgenwebs-custom-build-v1.mp3,audio,/home/iedrees/Workspace/nextgenwebs-audio/homepage-brand,nextgenwebs,homepage-brand,222811,0.21,11.70,,mp3,,yes,yes,yes,
nextgenwebs-homepage-intro-v1.mp3,/home/iedrees/Workspace/nextgenwebs-audio/homepage-brand/nextgenwebs-homepage-intro-v1.mp3,audio,/home/iedrees/Workspace/nextgenwebs-audio/homepage-brand,nextgenwebs,homepage-brand,329809,0.31,18.39,,mp3,,yes,yes,yes,
nextgenwebs-template-shop-v1.mp3,/home/iedrees/Workspace/nextgenwebs-audio/homepage-brand/nextgenwebs-template-shop-v1.mp3,audio,/home/iedrees/Workspace/nextgenwebs-audio/homepage-brand,nextgenwebs,homepage-brand,259174,0.25,13.98,,mp3,,yes,yes,yes,
nextgenwebs-what-we-build-v1.mp3,/home/iedrees/Workspace/nextgenwebs-audio/homepage-brand/nextgenwebs-what-we-build-v1.mp3,audio,/home/iedrees/Workspace/nextgenwebs-audio/homepage-brand,nextgenwebs,homepage-brand,282997,0.27,15.46,,mp3,,yes,yes,yes,
insightforge-etsy-video-voiceover-v1.mp3,/home/iedrees/Workspace/nextgenwebs-audio/insightforge-etsy-video-voiceover-v1.mp3,audio,/home/iedrees/Workspace/nextgenwebs-audio,insightforge,etsy-listing-videos,524160,0.50,30.54,,mp3,,yes,yes,yes,
insightforge-talking-head-youtube-v1.mp4,/home/iedrees/Workspace/nextgenwebs-audio/insightforge-talking-head-youtube-v1.mp4,video,/home/iedrees/Workspace/nextgenwebs-audio,insightforge,youtube-talking-heads,7120234,6.79,30.32,832x1088,aac,h264,yes,no,no,Video file is outside nextgenwebs-video. Video file is stored in the audio source folder.
tiling-etsy-video-voiceover-v1.mp3,/home/iedrees/Workspace/nextgenwebs-audio/tiling-etsy-video-voiceover-v1.mp3,audio,/home/iedrees/Workspace/nextgenwebs-audio,tiling,etsy-listing-videos,575569,0.55,33.75,,mp3,,yes,yes,yes,
tiling-talking-head-youtube-v1.mp4,/home/iedrees/Workspace/nextgenwebs-audio/tiling-talking-head-youtube-v1.mp4,video,/home/iedrees/Workspace/nextgenwebs-audio,tiling,youtube-talking-heads,7853310,7.49,33.96,832x1088,aac,h264,yes,no,no,Video file is outside nextgenwebs-video. Video file is stored in the audio source folder.
construction-etsy-listing-video-v1.mp4,/home/iedrees/Workspace/nextgenwebs-video/etsy-listing-videos/construction-etsy-listing-video-v1.mp4,video,/home/iedrees/Workspace/nextgenwebs-video/etsy-listing-videos,construction,etsy-listing-videos,2863777,2.73,11.80,832x1088,aac,h264,yes,yes,yes,
construction-talking-head-youtube-v1.mp4,/home/iedrees/Workspace/nextgenwebs-video/youtube-talking-heads/construction-talking-head-youtube-v1.mp4,video,/home/iedrees/Workspace/nextgenwebs-video/youtube-talking-heads,construction,youtube-talking-heads,8929980,8.52,37.80,832x1088,aac,h264,yes,yes,yes,
